chunk_0600_labeled_enc.csv, anomalies: 21, ratio: 0.0084%
chunk_0602_labeled_enc.csv, anomalies: 20, ratio: 0.0080%
chunk_0604_labeled_enc.csv, anomalies: 18, ratio: 0.0072%
chunk_0830_labeled_enc.csv, anomalies: 18, ratio: 0.0072%
chunk_0603_labeled_enc.csv, anomalies: 16, ratio: 0.0064%
chunk_0827_labeled_enc.csv, anomalies: 16, ratio: 0.0064%
chunk_0605_labeled_enc.csv, anomalies: 15, ratio: 0.0060%
chunk_0601_labeled_enc.csv, anomalies: 14, ratio: 0.0056%
chunk_0833_labeled_enc.csv, anomalies: 12, ratio: 0.0048%
chunk_0821_labeled_enc.csv, anomalies: 11, ratio: 0.0044%
chunk_0828_labeled_enc.csv, anomalies: 11, ratio: 0.0044%
chunk_0585_labeled_enc.csv, anomalies: 10, ratio: 0.0040%
chunk_0597_labeled_enc.csv, anomalies: 10, ratio: 0.0040%
chunk_0606_labeled_enc.csv, anomalies: 10, ratio: 0.0040%
chunk_0824_labeled_enc.csv, anomalies: 10, ratio: 0.0040%
chunk_0826_labeled_enc.csv, anomalies: 10, ratio: 0.0040%
chunk_0831_labeled_enc.csv, anomalies: 10, ratio: 0.0040%
chunk_0574_labeled_enc.csv, anomalies: 9, ratio: 0.0036%
chunk_0581_labeled_enc.csv, anomalies: 9, ratio: 0.0036%
chunk_0851_labeled_enc.csv, anomalies: 9, ratio: 0.0036%
chunk_0852_labeled_enc.csv, anomalies: 9, ratio: 0.0036%
chunk_0586_labeled_enc.csv, anomalies: 8, ratio: 0.0032%
chunk_0825_labeled_enc.csv, anomalies: 8, ratio: 0.0032%
chunk_0835_labeled_enc.csv, anomalies: 8, ratio: 0.0032%
chunk_0856_labeled_enc.csv, anomalies: 8, ratio: 0.0032%
chunk_0917_labeled_enc.csv, anomalies: 8, ratio: 0.0032%
chunk_0931_labeled_enc.csv, anomalies: 8, ratio: 0.0032%
chunk_0562_labeled_enc.csv, anomalies: 7, ratio: 0.0028%
chunk_0563_labeled_enc.csv, anomalies: 7, ratio: 0.0028%
chunk_0584_labeled_enc.csv, anomalies: 7, ratio: 0.0028%
chunk_0598_labeled_enc.csv, anomalies: 7, ratio: 0.0028%
chunk_0829_labeled_enc.csv, anomalies: 7, ratio: 0.0028%
chunk_0587_labeled_enc.csv, anomalies: 6, ratio: 0.0024%
chunk_0607_labeled_enc.csv, anomalies: 6, ratio: 0.0024%
chunk_0819_labeled_enc.csv, anomalies: 6, ratio: 0.0024%
chunk_0841_labeled_enc.csv, anomalies: 6, ratio: 0.0024%
chunk_0844_labeled_enc.csv, anomalies: 6, ratio: 0.0024%
chunk_0175_labeled_enc.csv, anomalies: 5, ratio: 0.0020%
chunk_0576_labeled_enc.csv, anomalies: 5, ratio: 0.0020%
chunk_0658_labeled_enc.csv, anomalies: 5, ratio: 0.0020%
chunk_0845_labeled_enc.csv, anomalies: 5, ratio: 0.0020%
chunk_0855_labeled_enc.csv, anomalies: 5, ratio: 0.0020%
chunk_0915_labeled_enc.csv, anomalies: 5, ratio: 0.0020%
chunk_0929_labeled_enc.csv, anomalies: 5, ratio: 0.0020%
